期号_源,期号_目标,Top1_命中,Top2_命中,Top3_命中,Top4_命中,Top5_命中,补漏6_命中,后区_命中,号码池_命中数,号码池_命中率,Top5_联合覆盖,Top5+补漏6_联合覆盖,补漏6_增补,Top1_号码,Top2_号码,Top3_号码,Top4_号码,Top5_号码,补漏6_号码,目标前区,目标后区
2026003,2026013,0,1,0,1,0,1,0,3,60.0%,2,3,1,"11 13 15 29 32","3 11 12 16 25","9 11 15 22 28","2 6 11 13 15","11 12 15 18 31","1 5 8 14 21","3 5 6 23 26","1 4"
2026004,2026014,1,1,0,2,0,1,2,4,80.0%,3,4,1,"3 8 15 23 32","13 25 27 28 35","3 5 13 24 25","2 13 15 18 23","3 8 11 15 22","6 9 16 29 33","16 18 23 34 35","1 6"
2026005,2026015,1,1,1,1,0,0,0,2,40.0%,2,2,0,"3 4 16 18 32","13 14 23 26 35","3 4 6 15 22","13 16 24 28 32","16 25 32 33 35","2 5 8 11 12","1 4 10 13 17","3 11"
2026006,2026016,0,2,0,1,1,1,0,3,60.0%,2,3,1,"3 5 13 18 32","3 8 12 15 23","3 16 18 27 35","3 8 11 22 25","2 3 8 15 21","4 6 9 28 33","8 9 12 19 24","1 6"
2026007,2026017,0,0,0,1,1,0,2,3,60.0%,2,2,0,"2 3 14 18 26","3 13 16 29 30","2 3 15 21 28","2 3 11 23 26","2 3 4 16 20","1 6 8 12 33","4 5 10 23 31","7 12"
2026008,2026018,1,0,0,0,0,1,0,3,60.0%,1,2,1,"3 4 18 21 35","3 15 16 27 31","3 4 13 23 33","3 4 5 17 21","3 4 6 18 20","1 2 8 11 26","9 11 19 30 35","1 12"
2026009,2026019,2,2,1,2,1,1,2,5,100.0%,4,5,1,"3 11 13 14 35","3 12 15 31 33","3 4 13 15 32","3 5 12 13 21","2 3 11 13 25","9 10 16 18 23","12 13 14 16 31","4 12"
2026010,2026020,1,0,0,0,1,1,0,3,60.0%,2,3,1,"3 12 13 23 26","2 3 14 16 28","3 6 13 32 33","3 14 18 22 26","3 12 13 21 26","1 4 5 8 15","1 10 21 23 29","10 12"
2026011,2026021,0,0,1,0,0,2,1,3,60.0%,1,3,2,"3 13 23 32 33","3 11 13 22 29","3 9 12 13 31","3 13 21 23 30","3 13 18 23 29","8 14 19 24 28","5 8 12 14 17","4 5"
2026012,2026022,2,1,1,0,2,0,1,3,60.0%,2,2,0,"2 5 18 23 25","3 5 21 24 27","5 13 22 28 29","14 22 23 25 35","3 5 18 21 32","4 6 8 12 15","5 9 10 18 26","5 6"
2026013,2026023,1,1,0,1,1,2,1,4,80.0%,2,4,2,"2 3 5 21 26","13 16 23 25 33","3 5 6 18 29","3 4 23 26 35","3 15 23 24 26","1 7 8 9 28","9 25 26 27 28","1 8"
2026014,2026024,0,0,1,0,0,0,0,2,40.0%,1,1,0,"3 13 18 26 35","3 5 16 33 34","3 6 8 23 35","13 17 18 29 35","12 13 18 25 35","14 15 22 28 32","2 4 8 10 21","9 12"
2026015,2026025,2,1,1,1,1,0,1,3,60.0%,2,2,0,"3 11 14 15 27","3 4 13 23 33","2 3 13 14 21","1 3 12 13 33","3 13 16 18 27","5 7 8 10 20","3 15 24 28 29","3 7"
